link,country,life_exp,year
https://data.worldbank.org/country/new-zealand,New Zealand,82,2024
https://data.worldbank.org/country/palau,Palau,69,2024
https://data.worldbank.org/country/papua-new-guinea,Papua New Guinea,66,2024
https://data.worldbank.org/country/philippines,Philippines,70,2024
https://data.worldbank.org/country/samoa,Samoa,72,2024
https://data.worldbank.org/country/singapore,Singapore,83,2024
https://data.worldbank.org/country/solomon-islands,Solomon Islands,71,2024
https://data.worldbank.org/country/tonga,Tonga,73,2024
https://data.worldbank.org/country/tuvalu,Tuvalu,67,2024
https://data.worldbank.org/country/vanuatu,Vanuatu,72,2024
https://data.worldbank.org/country/viet-nam,Viet Nam,75,2024
